Planta,Tiempo,Costos fijo
1,1,1.713108
2,1,1.790529
3,1,1.694414
4,1,1.640885
5,1,1.71087
6,1,1.685818
7,1,1.849899
8,1,1.639821
9,1,1.825877
10,1,1.654573
11,1,1.680243
12,1,1.632099
13,1,1.681055
14,1,1.640385
15,1,1.755574
16,1,1.701306
17,1,1.736619
18,1,1.672887
19,1,1.675563
20,1,1.772208
21,1,1.644698
22,1,1.7419
23,1,1.803791
1,2,1.693015
2,2,1.73091
3,2,1.812373
4,2,1.85405
5,2,1.754384
6,2,1.699926
7,2,1.709037
8,2,1.826585
9,2,1.757277
10,2,1.733924
11,2,1.684582
12,2,1.650927
13,2,1.820554
14,2,1.856678
15,2,1.669709
16,2,1.688176
17,2,1.679389
18,2,1.639581
19,2,1.711695
20,2,1.764321
21,2,1.65712
22,2,1.679028
23,2,1.74747
1,3,1.761802
2,3,1.782905
3,3,1.628785
4,3,1.839539
5,3,1.740731
6,3,1.847903
7,3,1.736847
8,3,1.682227
9,3,1.697898
10,3,1.642992
11,3,1.704916
12,3,1.858353
13,3,1.78695
14,3,1.857668
15,3,1.698834
16,3,1.704935
17,3,1.812364
18,3,1.74318
19,3,1.784498
20,3,1.628222
21,3,1.665294
22,3,1.738522
23,3,1.837478
1,4,1.64577
2,4,1.713149
3,4,1.76176
4,4,1.690445
5,4,1.752582
6,4,1.852417
7,4,1.752918
8,4,1.686686
9,4,1.744721
10,4,1.722893
11,4,1.850203
12,4,1.811702
13,4,1.699992
14,4,1.651238
15,4,1.676426
16,4,1.782637
17,4,1.695707
18,4,1.817924
19,4,1.787402
20,4,1.793693
21,4,1.653982
22,4,1.853236
23,4,1.718121
1,5,1.840391
2,5,1.78079
3,5,1.754948
4,5,1.803411
5,5,1.782357
6,5,1.841132
7,5,1.63877
8,5,1.828756
9,5,1.689596
10,5,1.745587
11,5,1.777885
12,5,1.66128
13,5,1.716028
14,5,1.678152
15,5,1.662512
16,5,1.800055
17,5,1.657697
18,5,1.803149
19,5,1.632032
20,5,1.700531
21,5,1.750187
22,5,1.693774
23,5,1.796707
1,6,1.629347
2,6,1.772556
3,6,1.762649
4,6,1.723656
5,6,1.734092
6,6,1.86008
7,6,1.736511
8,6,1.850413
9,6,1.666121
10,6,1.785173
11,6,1.800805
12,6,1.639157
13,6,1.699526
14,6,1.715861
15,6,1.655298
16,6,1.725247
17,6,1.820669
18,6,1.628521
19,6,1.824587
20,6,1.724263
21,6,1.797982
22,6,1.666243
23,6,1.688467
1,7,1.747593
2,7,1.690375
3,7,1.749215
4,7,1.861191
5,7,1.669704
6,7,1.637352
7,7,1.634291
8,7,1.732896
9,7,1.854731
10,7,1.849007
11,7,1.80267
12,7,1.803565
13,7,1.641195
14,7,1.640875
15,7,1.788896
16,7,1.81126
17,7,1.829528
18,7,1.78477
19,7,1.747459
20,7,1.861027
21,7,1.860726
22,7,1.798666
23,7,1.770148
1,8,1.751297
2,8,1.852155
3,8,1.669522
4,8,1.666786
5,8,1.864466
6,8,1.76031
7,8,1.687704
8,8,1.857069
9,8,1.708624
10,8,1.695045
11,8,1.698172
12,8,1.812564
13,8,1.762992
14,8,1.790794
15,8,1.662516
16,8,1.681699
17,8,1.659132
18,8,1.830366
19,8,1.854965
20,8,1.853892
21,8,1.697258
22,8,1.820742
23,8,1.723762
1,9,1.829643
2,9,1.768199
3,9,1.756413
4,9,1.696402
5,9,1.806648
6,9,1.850947
7,9,1.768246
8,9,1.755285
9,9,1.780223
10,9,1.704688
11,9,1.715574
12,9,1.837967
13,9,1.849961
14,9,1.724571
15,9,1.70752
16,9,1.699037
17,9,1.857178
18,9,1.733853
19,9,1.849228
20,9,1.677997
21,9,1.86466
22,9,1.832845
23,9,1.692194
1,10,1.680832
2,10,1.802709
3,10,1.695952
4,10,1.775396
5,10,1.678357
6,10,1.697053
7,10,1.690783
8,10,1.804756
9,10,1.772214
10,10,1.651781
11,10,1.800194
12,10,1.746557
13,10,1.847427
14,10,1.781146
15,10,1.756901
16,10,1.677974
17,10,1.772983
18,10,1.795362
19,10,1.71569
20,10,1.814642
21,10,1.770512
22,10,1.680928
23,10,1.716163
1,11,1.824279
2,11,1.735725
3,11,1.740331
4,11,1.787746
5,11,1.739282
6,11,1.674865
7,11,1.826526
8,11,1.646472
9,11,1.835907
10,11,1.782874
11,11,1.664288
12,11,1.679848
13,11,1.684678
14,11,1.662431
15,11,1.693461
16,11,1.702318
17,11,1.765943
18,11,1.788971
19,11,1.678342
20,11,1.644888
21,11,1.673575
22,11,1.716951
23,11,1.765855
1,12,1.754385
2,12,1.756806
3,12,1.818947
4,12,1.787412
5,12,1.752931
6,12,1.702188
7,12,1.65482
8,12,1.845688
9,12,1.755264
10,12,1.666981
11,12,1.835175
12,12,1.693967
13,12,1.791231
14,12,1.79475
15,12,1.705115
16,12,1.788772
17,12,1.727026
18,12,1.715797
19,12,1.718794
20,12,1.849346
21,12,1.784043
22,12,1.647798
23,12,1.631663
1,13,1.643605
2,13,1.791904
3,13,1.755787
4,13,1.714296
5,13,1.634929
6,13,1.68684
7,13,1.635505
8,13,1.803813
9,13,1.632979
10,13,1.678368
11,13,1.792657
12,13,1.642939
13,13,1.646139
14,13,1.644411
15,13,1.638486
16,13,1.845414
17,13,1.636354
18,13,1.771622
19,13,1.863354
20,13,1.831363
21,13,1.667904
22,13,1.827693
23,13,1.704898
1,14,1.803619
2,14,1.727594
3,14,1.731505
4,14,1.750833
5,14,1.747678
6,14,1.835155
7,14,1.845905
8,14,1.643767
9,14,1.655491
10,14,1.817489
11,14,1.657364
12,14,1.686876
13,14,1.844364
14,14,1.853261
15,14,1.704872
16,14,1.785107
17,14,1.703097
18,14,1.714458
19,14,1.838731
20,14,1.680665
21,14,1.791005
22,14,1.785106
23,14,1.643533
1,15,1.673374
2,15,1.818774
3,15,1.839827
