Planta,Tiempo,Costos Nueva,Costo Antigua
1,1,"0,0000005","0,0000010"
2,1,"0,0000004","0,0000010"
3,1,"0,0000005","0,0000009"
4,1,"0,0000006","0,0000012"
5,1,"0,0000007","0,0000008"
6,1,"0,0000004","0,0000008"
7,1,"0,0000007","0,0000008"
8,1,"0,0000004","0,0000008"
9,1,"0,0000005","0,0000011"
10,1,"0,0000007","0,0000012"
11,1,"0,0000006","0,0000010"
12,1,"0,0000006","0,0000012"
13,1,"0,0000004","0,0000011"
14,1,"0,0000007","0,0000012"
15,1,"0,0000005","0,0000008"
16,1,"0,0000005","0,0000009"
17,1,"0,0000004","0,0000008"
18,1,"0,0000006","0,0000008"
19,1,"0,0000006","0,0000008"
20,1,"0,0000007","0,0000009"
21,1,"0,0000005","0,0000012"
22,1,"0,0000006","0,0000010"
23,1,"0,0000007","0,0000009"
1,2,"0,0000006","0,0000009"
2,2,"0,0000005","0,0000008"
3,2,"0,0000004","0,0000012"
4,2,"0,0000006","0,0000008"
5,2,"0,0000004","0,0000008"
6,2,"0,0000005","0,0000010"
7,2,"0,0000004","0,0000010"
8,2,"0,0000006","0,0000008"
9,2,"0,0000007","0,0000012"
10,2,"0,0000005","0,0000012"
11,2,"0,0000007","0,0000009"
12,2,"0,0000004","0,0000011"
13,2,"0,0000005","0,0000012"
14,2,"0,0000005","0,0000009"
15,2,"0,0000007","0,0000008"
16,2,"0,0000005","0,0000008"
17,2,"0,0000007","0,0000008"
18,2,"0,0000004","0,0000009"
19,2,"0,0000007","0,0000009"
20,2,"0,0000006","0,0000009"
21,2,"0,0000007","0,0000010"
22,2,"0,0000005","0,0000009"
23,2,"0,0000004","0,0000009"
1,3,"0,0000004","0,0000010"
2,3,"0,0000005","0,0000011"
3,3,"0,0000004","0,0000010"
4,3,"0,0000007","0,0000012"
5,3,"0,0000005","0,0000010"
6,3,"0,0000007","0,0000012"
7,3,"0,0000005","0,0000011"
8,3,"0,0000007","0,0000011"
9,3,"0,0000007","0,0000011"
10,3,"0,0000005","0,0000012"
11,3,"0,0000004","0,0000012"
12,3,"0,0000007","0,0000011"
13,3,"0,0000005","0,0000008"
14,3,"0,0000005","0,0000012"
15,3,"0,0000004","0,0000010"
16,3,"0,0000004","0,0000009"
17,3,"0,0000005","0,0000012"
18,3,"0,0000005","0,0000011"
19,3,"0,0000006","0,0000011"
20,3,"0,0000007","0,0000011"
21,3,"0,0000007","0,0000008"
22,3,"0,0000006","0,0000012"
23,3,"0,0000005","0,0000009"
1,4,"0,0000006","0,0000011"
2,4,"0,0000005","0,0000012"
3,4,"0,0000005","0,0000011"
4,4,"0,0000007","0,0000010"
5,4,"0,0000007","0,0000008"
6,4,"0,0000005","0,0000009"
7,4,"0,0000005","0,0000009"
8,4,"0,0000004","0,0000010"
9,4,"0,0000006","0,0000010"
10,4,"0,0000006","0,0000009"
11,4,"0,0000005","0,0000010"
12,4,"0,0000006","0,0000010"
13,4,"0,0000005","0,0000008"
14,4,"0,0000006","0,0000010"
15,4,"0,0000005","0,0000009"
16,4,"0,0000007","0,0000009"
17,4,"0,0000005","0,0000009"
18,4,"0,0000006","0,0000010"
19,4,"0,0000004","0,0000011"
20,4,"0,0000005","0,0000008"
21,4,"0,0000005","0,0000011"
22,4,"0,0000006","0,0000011"
23,4,"0,0000004","0,0000012"
1,5,"0,0000006","0,0000011"
2,5,"0,0000006","0,0000009"
3,5,"0,0000005","0,0000010"
4,5,"0,0000006","0,0000009"
5,5,"0,0000005","0,0000008"
6,5,"0,0000007","0,0000011"
7,5,"0,0000007","0,0000009"
8,5,"0,0000005","0,0000011"
9,5,"0,0000004","0,0000009"
10,5,"0,0000004","0,0000008"
11,5,"0,0000004","0,0000010"
12,5,"0,0000004","0,0000012"
13,5,"0,0000005","0,0000009"
14,5,"0,0000006","0,0000008"
15,5,"0,0000005","0,0000009"
16,5,"0,0000007","0,0000008"
17,5,"0,0000007","0,0000012"
18,5,"0,0000005","0,0000011"
19,5,"0,0000004","0,0000011"
20,5,"0,0000005","0,0000010"
