Planta,Tiempo,Costo Transporte Agua de Mar a Planta
1,1,0.0000009
2,1,0.0000012
3,1,0.0000007
4,1,0.000001
5,1,0.000001
6,1,0.0000008
7,1,0.0000008
8,1,0.0000011
9,1,0.000001
10,1,0.0000008
11,1,0.0000007
12,1,0.0000011
13,1,0.0000008
14,1,0.0000007
15,1,0.0000007
16,1,0.0000007
17,1,0.0000009
18,1,0.0000008
19,1,0.0000009
20,1,0.0000006
21,1,0.0000011
22,1,0.0000007
23,1,0.000001
1,2,0.0000006
2,2,0.0000007
3,2,0.0000012
4,2,0.0000006
5,2,0.0000012
6,2,0.0000008
7,2,0.000001
8,2,0.0000008
9,2,0.0000009
10,2,0.0000012
11,2,0.0000007
12,2,0.0000006
13,2,0.0000006
14,2,0.0000011
15,2,0.0000011
16,2,0.000001
17,2,0.0000006
18,2,0.0000012
19,2,0.0000012
20,2,0.000001
21,2,0.0000009
22,2,0.0000011
23,2,0.0000009
1,3,0.0000007
2,3,0.0000011
3,3,0.0000009
4,3,0.0000009
5,3,0.0000012
6,3,0.0000007
7,3,0.0000008
8,3,0.0000007
9,3,0.0000008
10,3,0.0000012
11,3,0.0000011
12,3,0.0000011
13,3,0.0000011
14,3,0.0000006
15,3,0.000001
16,3,0.0000007
17,3,0.0000009
18,3,0.0000008
19,3,0.0000009
20,3,0.0000008
21,3,0.0000012
22,3,0.0000007
23,3,0.0000011
1,4,0.0000011
2,4,0.0000012
3,4,0.0000009
4,4,0.0000008
5,4,0.0000006
6,4,0.0000012
7,4,0.0000012
8,4,0.0000011
9,4,0.0000006
10,4,0.0000009
11,4,0.0000011
12,4,0.0000008
13,4,0.0000008
14,4,0.0000009
15,4,0.0000006
16,4,0.0000009
17,4,0.0000008
18,4,0.0000012
19,4,0.0000012
20,4,0.0000007
21,4,0.0000006
22,4,0.0000009
23,4,0.000001
1,5,0.000001
2,5,0.0000007
3,5,0.0000011
4,5,0.0000012
5,5,0.0000009
6,5,0.0000009
7,5,0.000001
8,5,0.0000011
9,5,0.0000011
10,5,0.0000007
11,5,0.000001
12,5,0.0000007
13,5,0.0000006
14,5,0.000001
15,5,0.0000008
16,5,0.0000012
17,5,0.0000007
18,5,0.0000012
19,5,0.000001
20,5,0.0000006
21,5,0.0000007
22,5,0.0000008
23,5,0.0000011
1,6,0.0000009
2,6,0.0000011
3,6,0.0000008
4,6,0.0000006
5,6,0.0000008
6,6,0.000001
7,6,0.0000011
8,6,0.0000008
9,6,0.0000012
10,6,0.0000012
11,6,0.0000011
12,6,0.0000008
13,6,0.0000012
14,6,0.0000006
15,6,0.000001
16,6,0.0000009
17,6,0.0000007
18,6,0.0000012
19,6,0.0000012
20,6,0.0000006
21,6,0.0000012
22,6,0.0000011
23,6,0.0000008
1,7,0.0000007
2,7,0.0000009
3,7,0.0000012
4,7,0.0000007
5,7,0.0000006
6,7,0.0000006
7,7,0.000001
8,7,0.0000011
9,7,0.0000009
10,7,0.0000012
11,7,0.0000012
12,7,0.000001
13,7,0.0000006
14,7,0.0000007
15,7,0.0000006
16,7,0.0000006
17,7,0.0000008
18,7,0.0000007
19,7,0.0000006
20,7,0.0000006
21,7,0.0000012
22,7,0.0000007
23,7,0.0000012
1,8,0.0000009
2,8,0.0000012
3,8,0.0000006
4,8,0.0000008
5,8,0.000001
6,8,0.0000008
7,8,0.0000006
8,8,0.0000009
9,8,0.0000012
10,8,0.0000012
11,8,0.0000009
12,8,0.0000008
13,8,0.0000008
14,8,0.0000012
15,8,0.000001
16,8,0.0000007
17,8,0.0000012
18,8,0.0000008
19,8,0.0000008
20,8,0.0000007
21,8,0.000001
22,8,0.0000012
23,8,0.000001
1,9,0.0000007
2,9,0.0000008
3,9,0.0000011
4,9,0.0000011
5,9,0.000001
6,9,0.0000012
7,9,0.0000007
8,9,0.0000007
9,9,0.0000006
10,9,0.0000009
11,9,0.0000011
12,9,0.0000008
13,9,0.0000006
14,9,0.0000009
15,9,0.0000007
16,9,0.0000008
17,9,0.0000008
18,9,0.0000007
19,9,0.0000011
20,9,0.0000009
21,9,0.0000012
22,9,0.0000006
23,9,0.0000012
1,10,0.0000006
2,10,0.000001
3,10,0.0000006
4,10,0.0000009
5,10,0.0000008
6,10,0.0000009
7,10,0.000001
8,10,0.0000009
9,10,0.0000006
10,10,0.000001
11,10,0.0000012
12,10,0.0000011
13,10,0.000001
14,10,0.0000009
15,10,0.0000009
16,10,0.000001
17,10,0.0000012
18,10,0.0000011
19,10,0.0000007
20,10,0.0000009
21,10,0.0000011
22,10,0.0000012
23,10,0.0000006
1,11,0.0000006
2,11,0.0000006
3,11,0.0000012
4,11,0.0000008
5,11,0.0000012
6,11,0.0000011
7,11,0.0000011
8,11,0.0000008
9,11,0.0000011
10,11,0.0000009
11,11,0.0000009
12,11,0.0000007
13,11,0.0000012
14,11,0.000001
15,11,0.000001
16,11,0.0000006
17,11,0.0000009
18,11,0.0000009
19,11,0.0000009
20,11,0.0000009
21,11,0.000001
22,11,0.0000012
23,11,0.0000006
1,12,0.000001
2,12,0.0000009
3,12,0.0000007
4,12,0.000001
5,12,0.0000006
6,12,0.0000009
7,12,0.000001
8,12,0.0000011
9,12,0.0000011
10,12,0.0000008
11,12,0.0000007
12,12,0.0000009
13,12,0.0000009
14,12,0.0000006
15,12,0.000001
16,12,0.0000009
17,12,0.0000012
18,12,0.0000012
19,12,0.0000012
20,12,0.0000012
21,12,0.000001
22,12,0.0000008
23,12,0.0000007
1,13,0.0000007
2,13,0.0000009
3,13,0.0000009
4,13,0.000001
5,13,0.0000007
6,13,0.0000007
7,13,0.0000009
8,13,0.0000011
9,13,0.0000009
10,13,0.0000012
11,13,0.0000011
12,13,0.0000007
13,13,0.0000009
14,13,0.0000011
15,13,0.0000008
16,13,0.0000008
17,13,0.0000008
18,13,0.0000008
19,13,0.0000007
20,13,0.0000007
21,13,0.000001
22,13,0.0000012
23,13,0.0000009
1,14,0.0000007
2,14,0.0000012
3,14,0.0000009
4,14,0.000001
5,14,0.0000009
6,14,0.0000006
7,14,0.000001
8,14,0.0000009
9,14,0.0000009
10,14,0.0000007
11,14,0.0000009
12,14,0.0000008
13,14,0.0000006
14,14,0.0000009
15,14,0.0000006
16,14,0.0000009
17,14,0.0000006
18,14,0.0000009
19,14,0.0000012
20,14,0.000001
21,14,0.0000012
22,14,0.0000011
23,14,0.0000012
1,15,0.0000006
2,15,0.0000011
3,15,0.0000012
4,15,0.0000009
5,15,0.0000011
6,15,0.000001
7,15,0.0000012
8,15,0.0000011
9,15,0.0000012
10,15,0.0000007
11,15,0.000001
12,15,0.0000011
13,15,0.000001
14,15,0.0000008
15,15,0.0000009
16,15,0.0000006
17,15,0.0000012
18,15,0.0000009
19,15,0.000001
20,15,0.0000009
21,15,0.000001
22,15,0.0000006
23,15,0.0000011
1,16,0.0000011
2,16,0.0000007
3,16,0.0000007
4,16,0.0000008
5,16,0.0000009
6,16,0.0000011
7,16,0.0000009
8,16,0.000001
9,16,0.0000011
10,16,0.000001
11,16,0.0000006
12,16,0.0000011
13,16,0.0000011
14,16,0.0000007
15,16,0.0000011
16,16,0.0000011
17,16,0.000001
18,16,0.0000008
19,16,0.0000006
20,16,0.0000007
21,16,0.0000011
22,16,0.0000007
23,16,0.0000012
1,17,0.0000007
2,17,0.0000009
3,17,0.0000012
4,17,0.0000012
5,17,0.0000011
6,17,0.0000011
7,17,0.0000012
8,17,0.0000008
9,17,0.0000012
10,17,0.0000009
11,17,0.000001
12,17,0.0000006
13,17,0.0000007
14,17,0.0000012
15,17,0.0000007
16,17,0.000001
17,17,0.0000012
18,17,0.000001
19,17,0.0000007
20,17,0.0000012
21,17,0.0000009
22,17,0.0000011
23,17,0.0000011
1,18,0.0000012
2,18,0.0000011
3,18,0.0000012
4,18,0.0000012
5,18,0.0000007
6,18,0.000001
7,18,0.0000012
8,18,0.0000011
9,18,0.0000007
10,18,0.0000008
11,18,0.0000011
12,18,0.0000011
13,18,0.0000007
14,18,0.000001
15,18,0.0000008
16,18,0.0000008
17,18,0.0000008
18,18,0.0000007
19,18,0.0000011
20,18,0.0000006
21,18,0.0000012
22,18,0.0000007
23,18,0.0000009
1,19,0.0000007
2,19,0.0000011
3,19,0.0000006
4,19,0.0000009
5,19,0.0000011
6,19,0.0000006
7,19,0.0000012
8,19,0.0000012
9,19,0.0000011
10,19,0.0000007
11,19,0.0000011
12,19,0.0000011
13,19,0.0000009
14,19,0.0000011
15,19,0.0000012
16,19,0.0000011
17,19,0.0000008
18,19,0.0000007
19,19,0.0000011
20,19,0.0000011
21,19,0.0000006
22,19,0.0000006
23,19,0.000001
1,20,0.0000011
2,20,0.0000007
3,20,0.0000009
4,20,0.0000012
5,20,0.0000006
6,20,0.0000009
7,20,0.0000007
8,20,0.0000012
9,20,0.0000009
10,20,0.0000011
11,20,0.0000012
12,20,0.0000007
13,20,0.0000012
14,20,0.000001
15,20,0.000001
16,20,0.0000006
17,20,0.0000008
18,20,0.0000009
19,20,0.0000008
20,20,0.0000006
21,20,0.0000008
22,20,0.0000007
23,20,0.0000006
