Planta,Tiempo,Coste de Mantenimiento
1,1,"0,000000433221"
2,1,"0,00000045836"
3,1,"0,000000569969"
4,1,"0,000000469707"
5,1,"0,000000465904"
6,1,"0,000000445062"
7,1,"0,000000576888"
8,1,"0,000000427973"
9,1,"0,00000044918"
10,1,"0,000000579821"
11,1,"0,000000561028"
12,1,"0,000000562495"
13,1,"0,000000555336"
14,1,"0,000000453763"
15,1,"0,000000588425"
16,1,"0,000000583001"
17,1,"0,000000545598"
18,1,"0,000000585214"
19,1,"0,000000501268"
20,1,"0,000000488702"
21,1,"0,000000426488"
22,1,"0,000000475474"
23,1,"0,000000472933"
1,2,"0,00000046398"
2,2,"0,000000548775"
3,2,"0,000000485462"
4,2,"0,00000041938"
5,2,"0,000000440625"
6,2,"0,000000552572"
7,2,"0,000000518609"
8,2,"0,000000416148"
9,2,"0,000000459672"
10,2,"0,000000472884"
11,2,"0,000000433468"
12,2,"0,000000439898"
13,2,"0,00000054753"
14,2,"0,000000571953"
15,2,"0,00000046796"
16,2,"0,000000522065"
17,2,"0,000000567736"
18,2,"0,000000475084"
19,2,"0,000000578267"
20,2,"0,000000441507"
21,2,"0,000000580375"
22,2,"0,000000565246"
23,2,"0,000000522967"
1,3,"0,000000420164"
2,3,"0,000000458955"
3,3,"0,000000488625"
4,3,"0,000000500111"
5,3,"0,00000047764"
6,3,"0,000000428243"
7,3,"0,000000420498"
8,3,"0,000000481606"
9,3,"0,000000484337"
10,3,"0,000000468389"
11,3,"0,000000436221"
12,3,"0,000000572433"
13,3,"0,000000483204"
14,3,"0,00000051749"
15,3,"0,000000511892"
16,3,"0,000000591966"
17,3,"0,000000554446"
18,3,"0,000000582568"
19,3,"0,000000554239"
20,3,"0,000000560866"
21,3,"0,000000490544"
22,3,"0,000000503848"
23,3,"0,000000589607"
1,4,"0,000000542832"
2,4,"0,000000591772"
3,4,"0,000000554134"
4,4,"0,000000517469"
5,4,"0,000000548778"
6,4,"0,00000049798"
7,4,"0,000000453002"
8,4,"0,000000548771"
9,4,"0,00000046584"
10,4,"0,000000486795"
11,4,"0,000000425547"
12,4,"0,000000523543"
13,4,"0,000000473002"
14,4,"0,000000417527"
15,4,"0,000000450392"
16,4,"0,000000417649"
17,4,"0,000000432013"
18,4,"0,000000530058"
19,4,"0,00000043373"
20,4,"0,000000460246"
21,4,"0,000000438701"
22,4,"0,000000572633"
23,4,"0,000000466236"
1,5,"0,000000489483"
2,5,"0,00000045676"
3,5,"0,000000561062"
4,5,"0,000000550782"
5,5,"0,000000580295"
6,5,"0,000000486569"
7,5,"0,000000429041"
8,5,"0,000000576032"
9,5,"0,000000442633"
10,5,"0,000000416634"
11,5,"0,000000456431"
12,5,"0,000000491148"
13,5,"0,000000426337"
14,5,"0,000000476799"
15,5,"0,000000543128"
16,5,"0,000000442049"
17,5,"0,000000585959"
18,5,"0,00000056444"
19,5,"0,000000591818"
20,5,"0,00000052887"
21,5,"0,000000581232"
22,5,"0,000000444521"
23,5,"0,0000005433"
1,6,"0,000000545556"
2,6,"0,000000445562"
3,6,"0,00000054148"
4,6,"0,000000425256"
5,6,"0,00000050379"
6,6,"0,000000534872"
7,6,"0,00000058664"
8,6,"0,000000518308"
9,6,"0,000000446786"
10,6,"0,000000573334"
11,6,"0,000000494033"
12,6,"0,000000473964"
13,6,"0,000000457843"
14,6,"0,00000051711"
15,6,"0,000000438268"
16,6,"0,00000048658"
17,6,"0,000000544903"
18,6,"0,000000580942"
19,6,"0,000000511359"
20,6,"0,000000433787"
21,6,"0,000000545822"
22,6,"0,000000499552"
23,6,"0,000000558206"
1,7,"0,000000452907"
2,7,"0,000000579463"
3,7,"0,000000430191"
4,7,"0,000000487812"
5,7,"0,000000571782"
6,7,"0,000000564227"
7,7,"0,00000058726"
8,7,"0,000000529132"
9,7,"0,000000417087"
10,7,"0,000000549132"
11,7,"0,0000005499"
12,7,"0,000000431868"
13,7,"0,000000468635"
14,7,"0,000000548099"
15,7,"0,000000516649"
16,7,"0,000000574487"
17,7,"0,000000451386"
18,7,"0,000000563663"
19,7,"0,0000004647"
20,7,"0,000000581139"
21,7,"0,000000559925"
22,7,"0,000000566952"
23,7,"0,000000445127"
1,8,"0,000000509203"
2,8,"0,000000476884"
3,8,"0,000000437377"
4,8,"0,000000444446"
5,8,"0,000000549687"
6,8,"0,000000464411"
7,8,"0,000000550186"
8,8,"0,000000483234"
9,8,"0,000000582743"
10,8,"0,000000475088"
11,8,"0,00000058467"
12,8,"0,000000461113"
13,8,"0,000000495209"
14,8,"0,000000521855"
15,8,"0,000000485615"
16,8,"0,00000053534"
17,8,"0,000000498129"
18,8,"0,000000499387"
19,8,"0,000000512275"
20,8,"0,000000519359"
21,8,"0,000000434906"
22,8,"0,000000440074"
23,8,"0,000000493981"
1,9,"0,000000466181"
2,9,"0,000000545917"
3,9,"0,000000426202"
4,9,"0,000000451311"
5,9,"0,000000453161"
6,9,"0,000000432095"
7,9,"0,000000500215"
8,9,"0,000000503587"
9,9,"0,00000047776"
10,9,"0,000000517288"
11,9,"0,000000491934"
12,9,"0,000000565354"
13,9,"0,00000051119"
14,9,"0,0000005259"
15,9,"0,00000054746"
16,9,"0,000000532431"
17,9,"0,000000563412"
18,9,"0,000000423715"
19,9,"0,000000520049"
20,9,"0,000000534031"
21,9,"0,000000557814"
22,9,"0,000000559563"
23,9,"0,000000534646"
1,10,"0,000000505463"
2,10,"0,000000428048"
3,10,"0,000000545891"
4,10,"0,00000056591"
5,10,"0,000000585913"
6,10,"0,000000539917"
7,10,"0,000000461219"
8,10,"0,000000589511"
9,10,"0,00000052585"
10,10,"0,000000422897"
11,10,"0,000000502848"
12,10,"0,000000441184"
13,10,"0,000000496683"
14,10,"0,000000488924"
15,10,"0,000000513177"
16,10,"0,000000567548"
17,10,"0,00000043937"
18,10,"0,000000547234"
19,10,"0,000000439486"
20,10,"0,000000579948"
21,10,"0,000000546857"
22,10,"0,000000495706"
23,10,"0,000000482036"
1,11,"0,000000512686"
2,11,"0,000000584332"
3,11,"0,00000045492"
4,11,"0,000000571924"
5,11,"0,000000557812"
6,11,"0,000000512545"
7,11,"0,000000432255"
8,11,"0,000000420199"
9,11,"0,000000483274"
10,11,"0,000000530615"
11,11,"0,00000043878"
12,11,"0,000000507376"
13,11,"0,000000469686"
14,11,"0,000000418015"
15,11,"0,00000047732"
16,11,"0,00000050661"
17,11,"0,000000546077"
18,11,"0,000000443758"
19,11,"0,000000578079"
20,11,"0,00000050751"
21,11,"0,00000050402"
22,11,"0,000000451061"
23,11,"0,00000053838"
1,12,"0,000000524758"
2,12,"0,000000546279"
3,12,"0,000000550178"
4,12,"0,000000588667"
5,12,"0,000000536442"
6,12,"0,000000467607"
7,12,"0,000000495429"
8,12,"0,000000423641"
9,12,"0,000000505297"
10,12,"0,000000544698"
11,12,"0,000000418916"
12,12,"0,000000481554"
13,12,"0,000000589853"
14,12,"0,000000528332"
15,12,"0,000000486802"
16,12,"0,000000537959"
17,12,"0,000000564815"
18,12,"0,000000556693"
19,12,"0,000000527563"
20,12,"0,000000586962"
21,12,"0,000000535881"
22,12,"0,000000416421"
23,12,"0,000000542109"
1,13,"0,000000442833"
2,13,"0,000000494592"
3,13,"0,000000572482"
4,13,"0,000000482195"
5,13,"0,000000430129"
6,13,"0,000000574755"
7,13,"0,000000564072"
8,13,"0,000000564146"
9,13,"0,000000452908"
10,13,"0,000000582409"
11,13,"0,000000466851"
12,13,"0,000000518492"
13,13,"0,000000591412"
14,13,"0,00000045935"
