Variable x:,i,t
76469,1,2
90708,1,3
91905,1,4
113192,1,5
77118,1,6
96974,1,7
108901,1,8
96602,1,9
97272,1,10
84123,1,11
114481,1,12
82518,1,13
114416,1,14
99056,1,15
82592,1,16
115299,1,17
84543,1,18
100783,1,19
98013,2,2
101064,2,3
98385,2,4
98053,2,5
97705,2,6
96520,2,7
96868,2,8
95930,2,9
102921,2,10
104937,2,11
105850,2,12
106736,2,13
107315,2,14
109831,2,15
105040,2,16
106622,2,17
104388,2,18
107539,2,19
268566,3,17
198156,3,18
246467,4,2
294647,4,7
222513,5,3
201292,5,12
195648,5,16
235146,6,15
229504,7,5
226335,7,8
235912,9,10
231989,9,13
257862,11,9
264005,14,6
262334,14,11
265569,15,14
235623,15,19
279670,16,4
254653,17,3
220567,17,4
258544,17,6
246410,17,9
254204,17,15
261967,17,16
207000,18,2
217625,18,5
204949,18,8
262033,18,12
261515,18,13
259339,18,14
258006,18,19
211530,19,7
253508,19,10
262976,19,11
265487,19,17
261001,19,18
12767,23,2
12887,23,3
12849,23,4
12819,23,5
12691,23,6
12668,23,7
12778,23,8
12658,23,9
12888,23,10
14016,23,11
14498,23,12
13646,23,13
14255,23,14
13576,23,15
13401,23,16
14494,23,17
13759,23,18
14335,23,19
